city,date,fare,ride_id
Lake Jonathanshire,2019-01-14 10:14:00,13.83,5739410000000
South Michelleport,2019-03-04 18:24:00,30.24,2343910000000
Port Samanthamouth,2019-02-24 04:29:00,33.44,2005070000000
Rodneyfort,2019-02-10 23:22:00,23.44,5149250000000
South Jack,2019-03-06 04:28:00,34.58,3908450000000
South Latoya,2019-03-11 12:26:00,9.52,1995000000000
New Paulville,2019-02-27 11:17:00,43.25,793208000000
Simpsonburgh,2019-04-26 00:43:00,35.98,111954000000
South Karenland,2019-01-08 03:28:00,35.09,7995620000000
North Jasmine,2019-03-09 06:26:00,42.81,5327640000000
New Kimberlyborough,2019-02-07 01:10:00,9.34,7992780000000
West Angela,2019-01-12 01:45:00,26.86,4820050000000
Rodneyfort,2019-03-02 18:03:00,44.26,2494060000000
West Angela,2019-01-10 12:17:00,12.74,2108720000000
Roberthaven,2019-05-04 14:48:00,25.66,1026200000000
North Jason,2019-03-28 22:28:00,9.19,7007020000000
Williamsview,2019-01-03 16:19:00,18.93,1979490000000
Leahton,2019-02-26 18:42:00,8.85,6966670000000
West Anthony,2019-03-06 02:27:00,10.02,9396760000000
New Kimberlyborough,2019-04-25 22:58:00,29.67,4823570000000
Roberthaven,2019-02-24 10:26:00,7.8,2180570000000
New Paulton,2019-05-01 03:12:00,8.28,8527100000000
West Patrickchester,2019-03-19 05:46:00,40.86,898889000000
Deanville,2019-04-25 03:29:00,41.52,6055930000000
West Josephberg,2019-02-19 16:22:00,36.39,3322130000000
West Samuelburgh,2019-05-03 14:33:00,41.12,7330840000000
West Heidi,2019-03-14 23:46:00,24.4,4908570000000
Loganberg,2019-04-01 01:06:00,8.23,678729000000
Huntermouth,2019-02-10 23:32:00,25.79,1880380000000
South Latoya,2019-01-11 18:44:00,27.41,8662300000000
New Paulville,2019-03-18 22:54:00,25.05,5031800000000
Grahamburgh,2019-01-15 11:44:00,40.69,307021000000
Port Frank,2019-02-02 14:14:00,41.47,6746610000000
East Kaylahaven,2019-02-28 04:13:00,25.96,3662520000000
Rodneyfort,2019-02-03 00:48:00,44.86,2325700000000
South Karenland,2019-02-12 06:52:00,36.01,4015930000000
West Robert,2019-02-15 04:21:00,12.28,1442500000000
North Markport,2019-02-18 08:17:00,38.09,925013000000
